PDEshL	 -11.7179487179487 -0.538461538461538
PDEsoL	 -11.8205128205128 -0.256410256410256
PVM	 -11.8205128205128 -0.153846153846154
PVDL	 -11.6923076923077 -0.205128205128205
SDQL	 -11.5897435897436 -0.179487179487179
PDEL	 -11.4615384615385 -0.205128205128205
HSNL	 -9.05128205128205 0.153846153846154
CANL	 -8.53846153846154 -0.179487179487179
ALML	 -6.35897435897436 -0.282051282051282
BDUL	 -2.23076923076923 -0.0256410256410256
PDEshR	 -11.7948717948718 -0.0512820512820513
PDEsoR	 -11.8974358974359 0.282051282051282
PVDR	 -11.7435897435897 0.307692307692308
PDER	 -11.6410256410256 0.358974358974359
HSNR	 -9.1025641025641 0.58974358974359
CANR	 -8.58974358974359 0.205128205128205
ALMR	 -6.41025641025641 -0.102564102564103
AVM	 -5.84615384615385 0.384615384615385
SDQR	 -2.46153846153846 -0.0512820512820513
BDUR	 -2.25641025641026 0.0769230769230769
VD11	 -14.2564102564103 0.564102564102564
DA7	 -14.1282051282051 0.538461538461538
AS10	 -14.025641025641 0.564102564102564
DB7	 -13.8974358974359 0.538461538461538
VB11	 -13.7435897435897 0.564102564102564
VA10	 -13.5897435897436 0.564102564102564
VD10	 -13 0.615384615384615
DD5	 -12.8974358974359 0.615384615384615
AS9	 -12.7435897435897 0.58974358974359
VB10	 -12.4102564102564 0.615384615384615
VA9	 -12 0.615384615384615
DA6	 -11.7435897435897 0.641025641025641
VD9	 -11.5641025641026 0.641025641025641
AS8	 -11.1794871794872 0.666666666666667
DB6	 -11.0512820512821 0.641025641025641
VC6	 -10.974358974359 0.692307692307692
VB9	 -10.6923076923077 0.692307692307692
VA8	 -10.5128205128205 0.666666666666667
VD8	 -10.025641025641 0.717948717948718
DD4	 -9.7948717948718 0.692307692307692
AS7	 -9.66666666666667 0.717948717948718
VB8	 -9.46153846153846 0.692307692307692
VA7	 -9.17948717948718 0.717948717948718
VC5	 -8.94871794871795 0.717948717948718
DA5	 -8.84615384615385 0.666666666666667
VC4	 -8.35897435897436 0.641025641025641
VD7	 -8.2051282051282 0.692307692307692
AS6	 -8 0.717948717948718
DB5	 -7.87179487179487 0.692307692307692
VB7	 -7.66666666666667 0.717948717948718
VA6	 -7.48717948717949 0.717948717948718
VD6	 -6.82051282051282 0.743589743589744
AS5	 -6.74358974358974 0.717948717948718
VC3	 -6.66666666666667 0.717948717948718
DD3	 -6.35897435897436 0.692307692307692
DA4	 -6.28205128205128 0.692307692307692
VB6	 -6.20512820512821 0.717948717948718
VA5	 -5.76923076923077 0.717948717948718
VD5	 -5.28205128205128 0.717948717948718
AS4	 -4.76923076923077 0.666666666666667
DB4	 -4.58974358974359 0.666666666666667
VC2	 -4.38461538461539 0.692307692307692
VB5	 -4.23076923076923 0.692307692307692
VA4	 -4.02564102564103 0.666666666666667
DA3	 -3.92307692307692 0.692307692307692
VD4	 -3.69230769230769 0.692307692307692
AS3	 -3.33333333333333 0.666666666666667
DD2	 -3.17948717948718 0.641025641025641
VC1	 -2.79487179487179 0.641025641025641
VB4	 -2.69230769230769 0.641025641025641
VA3	 -2.43589743589744 0.641025641025641
VD3	 -2.25641025641026 0.641025641025641
DA2	 -2.15384615384615 0.641025641025641
DB3	 -2.02564102564103 0.641025641025641
AS2	 -1.84615384615385 0.666666666666667
VB3	 -1.35897435897436 0.615384615384615
VA2	 -1.17948717948718 0.615384615384615
ILsoDL	 3.16528925619835 -0.347107438016529
OLQsoDL	 3.09504132231405 -0.347107438016529
AMsoL	 3.11157024793388 -0.0867768595041322
ILsoL	 3.01239669421488 0.0950413223140496
OLQsoVL	 2.95454545454545 0.152892561983471
ILshVL	 3.12396694214876 0.21900826446281
ILsoVL	 3.21900826446281 0.239669421487603
IL2DL	 2.29752066115702 -0.264462809917355
IL1DL	 2.15289256198347 -0.243801652892562
OLQDL	 2.06198347107438 -0.268595041322314
RMED	 1.94214876033058 -0.301652892561983
CEPshDL	 2.02066115702479 -0.202479338842975
URYDL	 2.11157024793388 -0.202479338842975
URADL	 2.20661157024793 -0.202479338842975
OLLsoL	 2.29752066115702 -0.18595041322314
OLQshDL	 2.29752066115702 -0.18595041322314
ILshDL	 2.3801652892562 -0.181818181818182
CEPsoDL	 2.2603305785124 -0.136363636363636
OLLLL	 2.16115702479339 -0.103305785123967
RIPL	 2.04132231404959 -0.111570247933884
RMEL	 1.89256198347107 -0.0495867768595041
BAGL	 1.89669421487603 0.00826446280991736
URBL	 2.03305785123967 -0.0495867768595041
IL1L	 2.12396694214876 -0.0165289256198347
IL2L	 2.21074380165289 -0.0495867768595041
ILshL	 2.40082644628099 0.0909090909090909
OLQshVL 	 2.29752066115702 0.140495867768595
